"Barbarian",,,,,,,,,,,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",,,,,,,,,,,
,"spawn","true",1,,"barbarian6_cheer1","true","true",,,,,,,,,,,
"Barbarian7",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,,
,"walk","true",,,"barbarian7_run","true","true",,,,,,,,,,,
,"idle","true",1,,"barbarian7_idle1","true","true",,,,,,,,,,,
,,"true",1,,"barbarian7_idle1","true","true",,,,,,,,,,,
,"attack","true",1,11,"barbarian7_attack1","false","true",,,,,,,,,,,
,,"true",1,11,"barbarian7_attack2","false","true",,,,,,,,,,,
,,"true",1,11,"barbarian7_attack1","false","true",,,,,,,,,,,
,,"true",1,11,"barbarian7_attack2","false","true",,,,,,,,,,,
,"celebrate","true",1,,"barbarian7_cheer1","true","true",,,,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",,,,,,,,,,,
,"spawn","true",1,,"barbarian7_cheer1","true","true",,,,,,,,,,,
"Barbarian8",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,,
,"walk","true",,,"barbarian8_run","true","true",,,,,,,,,,,
,"idle","true",1,,"barbarian8_idle1","true","true",,,,,,,,,,,
,,"true",1,,"barbarian8_idle1","true","true",,,,,,,,,,,
,"attack","true",1,11,"barbarian8_attack1","false","true",,,,,,,,,,,
,,"true",1,11,"barbarian8_attack2","false","true",,,,,,,,,,,
,,"true",1,11,"barbarian8_attack1","false","true",,,,,,,,,,,
,,"true",1,11,"barbarian8_attack2","false","true",,,,,,,,,,,
,"celebrate","true",1,,"barbarian8_cheer1","true","true",,,,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",,,,,,,,,,,
,"spawn","true",1,,"barbarian8_cheer1","true","true",,,,,,,,,,,
"Barbarian9",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,,
,"walk","true",,,"barbarian9_run","true","true",,,,,,,,,,,
,"idle","true",1,,"barbarian9_idle1","true","true",,,,,,,,,,,
,,"true",1,,"barbarian9_idle1","true","true",,,,,,,,,,,
,"attack","true",1,11,"barbarian9_attack1","false","true",,,,,,,,,,,
,,"true",1,11,"barbarian9_attack2","false","true",,,,,,,,,,,
,,"true",1,11,"barbarian9_attack1","false","true",,,,,,,,,,,
,,"true",1,11,"barbarian9_attack2","false","true",,,,,,,,,,,
,"celebrate","true",1,,"barbarian9_cheer1","true","true",,,,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",,,,,,,,,,,
,"spawn","true",1,,"barbarian9_cheer1","true","true",,,,,,,,,,,
"Barbarian10",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,,
,"walk","true",,,"barbarian10_run","true","true",,,,,,,,,,,
,"idle","true",1,,"barbarian10_idle1","true","true",,,,,,,,,,,
,,"true",1,,"barbarian10_idle1","true","true",,,,,,,,,,,
,"attack","true",1,11,"barbarian10_attack1","false","true",,,,,,,,,,,
,,"true",1,11,"barbarian10_attack2","false","true",,,,,,,,,,,
,,"true",1,11,"barbarian10_attack1","false","true",,,,,,,,,,,
,,"true",1,11,"barbarian10_attack2","false","true",,,,,,,,,,,
,"celebrate","true",1,,"barbarian10_cheer1","true","true",,,,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",,,,,,,,,,,
,"spawn","true",1,,"barbarian10_cheer1","true","true",,,,,,,,,,,
"Barbarian_new1",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast","SWF",,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean","String",,,,,,,,,,
,"walk","true",,,"barbarian_special_lvl1_run","true","true","sc/characters.sc",,,,,,,,,,
,"idle","true",1,,"barbarian_special_lvl1_idle1","true","true","sc/characters.sc",,,,,,,,,,
,,"true",1,,"barbarian_special_lvl1_idle1","true","true","sc/characters.sc",,,,,,,,,,
,"attack","true",1,11,"barbarian_special_lvl1_attack1","false","true","sc/characters.sc",,,,,,,,,,
,,"true",1,11,"barbarian_special_lvl1_attack1","false","true","sc/characters.sc",,,,,,,,,,
,,"true",1,11,"barbarian_special_lvl1_attack1","false","true","sc/characters.sc",,,,,,,,,,
,,"true",1,11,"barbarian_special_lvl1_attack1","false","true","sc/characters.sc",,,,,,,,,,
,"celebrate","true",1,,"barbarian_special_lvl1_cheer1","true","true","sc/characters.sc",,,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",,,,,,,,,,,
,"spawn","true",1,,"barbarian_special_lvl1_cheer1","true","true","sc/characters.sc",,,,,,,,,,
"Barbarian_new2",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast","Scale","SWF",,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean","int","String",,,,,,,,,
,"walk","true",,,"barbarian_special_lvl2_run","true","true",105,"sc/characters.sc",,,,,,,,,
,"idle","true",1,,"barbarian_special_lvl2_idle1","true","true",105,"sc/characters.sc",,,,,,,,,
,,"true",1,,"barbarian_special_lvl2_idle1","true","true",,"sc/characters.sc",,,,,,,,,
,"attack","true",1,11,"barbarian_special_lvl2_attack1","false","true",105,"sc/characters.sc",,,,,,,,,
,,"true",1,11,"barbarian_special_lvl2_attack2","false","true",,"sc/characters.sc",,,,,,,,,
,,"true",1,11,"barbarian_special_lvl2_attack1","false","true",,"sc/characters.sc",,,,,,,,,
,,"true",1,11,"barbarian_special_lvl2_attack2","false","true",,"sc/characters.sc",,,,,,,,,
,"celebrate","true",1,,"barbarian_special_lvl2_cheer1","true","true",105,"sc/characters.sc",,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",105,,,,,,,,,,
,"spawn","true",1,,"barbarian_special_lvl2_cheer1","true","true",105,"sc/characters.sc",,,,,,,,,
"Barbarian_new3",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast","Scale","SWF",,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean","int","String",,,,,,,,,
,"walk","true",,,"barbarian_special_lvl3_run","true","true",108,"sc/characters.sc",,,,,,,,,
,"idle","true",1,,"barbarian_special_lvl3_idle1","true","true",108,"sc/characters.sc",,,,,,,,,
,,"true",1,,"barbarian_special_lvl3_idle1","true","true",,"sc/characters.sc",,,,,,,,,
,"attack","true",1,11,"barbarian_special_lvl3_attack1","false","true",108,"sc/characters.sc",,,,,,,,,
,,"true",1,11,"barbarian_special_lvl3_attack2","false","true",,"sc/characters.sc",,,,,,,,,
,,"true",1,11,"barbarian_special_lvl3_attack1","false","true",,"sc/characters.sc",,,,,,,,,
,,"true",1,11,"barbarian_special_lvl3_attack2","false","true",,"sc/characters.sc",,,,,,,,,
,"celebrate","true",1,,"barbarian_special_lvl3_cheer1","true","true",108,"sc/characters.sc",,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",108,,,,,,,,,,
,"spawn","true",1,,"barbarian_special_lvl1_cheer1","true","true",108,"sc/characters.sc",,,,,,,,,
"Barbarian_new4",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast","Scale","SWF",,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean","int","String",,,,,,,,,
,"walk","true",,,"barbarian_special_lvl4_run","true","true",110,"sc/characters.sc",,,,,,,,,
,"idle","true",1,,"barbarian_special_lvl4_idle1","true","true",110,"sc/characters.sc",,,,,,,,,
,,"true",1,,"barbarian_special_lvl4_idle1","true","true",,"sc/characters.sc",,,,,,,,,
,"attack","true",1,11,"barbarian_special_lvl4_attack1","false","true",110,"sc/characters.sc",,,,,,,,,
,,"true",1,11,"barbarian_special_lvl4_attack2","false","true",,"sc/characters.sc",,,,,,,,,
,,"true",1,11,"barbarian_special_lvl4_attack1","false","true",,"sc/characters.sc",,,,,,,,,
,,"true",1,11,"barbarian_special_lvl4_attack2","false","true",,"sc/characters.sc",,,,,,,,,
,"celebrate","true",1,,"barbarian_special_lvl4_cheer1","true","true",110,"sc/characters.sc",,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",110,,,,,,,,,,
,"spawn","true",1,,"barbarian_special_lvl4_cheer1","true","true",110,"sc/characters.sc",,,,,,,,,
"Barbarian_new5",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast","Scale","SWF",,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean","int","String",,,,,,,,,
,"walk","true",,,"barbarian_special_lvl5_run","true","true",110,"sc/characters.sc",,,,,,,,,
,"idle","true",1,,"barbarian_special_lvl5_idle1","true","true",110,"sc/characters.sc",,,,,,,,,
,,"true",1,,"barbarian_special_lvl5_idle1","true","true",,"sc/characters.sc",,,,,,,,,
,"attack","true",1,11,"barbarian_special_lvl5_attack1","false","true",110,"sc/characters.sc",,,,,,,,,
,,"true",1,11,"barbarian_special_lvl5_attack2","false","true",,"sc/characters.sc",,,,,,,,,
,,"true",1,11,"barbarian_special_lvl5_attack1","false","true",,"sc/characters.sc",,,,,,,,,
,,"true",1,11,"barbarian_special_lvl5_attack2","false","true",,"sc/characters.sc",,,,,,,,,
,"celebrate","true",1,,"barbarian_special_lvl5_cheer1","true","true",110,"sc/characters.sc",,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",110,,,,,,,,,,
,"spawn","true",1,,"barbarian_special_lvl5_cheer1","true","true",110,"sc/characters.sc",,,,,,,,,
"Archer_new_lvl1",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast","SWF",,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean","String",,,,,,,,,,
,"walk","true",,,"archer_lvl1_run1","true","true","sc/characters.sc",,,,,,,,,,
,"idle","true",10,,"archer_lvl1_idle1","true","true","sc/characters.sc",,,,,,,,,,
,"attack","true",1,5,"archer_lvl1_attack1","false","true","sc/characters.sc",,,,,,,,,,
,"celebrate","true",1,,"archer_lvl1_cheer1","true","true","sc/characters.sc",,,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",,,,,,,,,,,
,"spawn","true",1,,"archer_lvl1_cheer1","true","true","sc/characters.sc",,,,,,,,,,
"Archer_new_lvl2",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast","Scale","SWF",,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean","int","String",,,,,,,,,
,"walk","true",,,"archer_lvl2_run1","true","true",103,"sc/characters.sc",,,,,,,,,
,"idle","true",10,,"archer_lvl2_idle1","true","true",103,"sc/characters.sc",,,,,,,,,
,"attack","true",1,5,"archer_lvl2_attack1","false","true",103,"sc/characters.sc",,,,,,,,,
,"celebrate","true",1,,"archer_lvl2_cheer1","true","true",103,"sc/characters.sc",,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",103,,,,,,,,,,
,"spawn","true",1,,"archer_lvl2_cheer1","true","true",103,"sc/characters.sc",,,,,,,,,
"Archer_new_lvl3",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast","Scale","SWF",,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean","int","String",,,,,,,,,
,"walk","true",,,"archer_lvl3_run1","true","true",106,"sc/characters.sc",,,,,,,,,
,"idle","true",10,,"archer_lvl3_idle1","true","true",106,"sc/characters.sc",,,,,,,,,
,"attack","true",1,5,"archer_lvl3_attack1","false","true",106,"sc/characters.sc",,,,,,,,,
,"celebrate","true",1,,"archer_lvl3_cheer1","true","true",106,"sc/characters.sc",,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",106,,,,,,,,,,
,"spawn","true",1,,"archer_lvl3_cheer1","true","true",106,"sc/characters.sc",,,,,,,,,
"Archer_new_lvl4",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast","Scale","SWF",,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean","int","String",,,,,,,,,
,"walk","true",,,"archer_lvl4_run1","true","true",110,"sc/characters.sc",,,,,,,,,
,"idle","true",10,,"archer_lvl4_idle1","true","true",110,"sc/characters.sc",,,,,,,,,
,"attack","true",1,5,"archer_lvl4_attack1","false","true",110,"sc/characters.sc",,,,,,,,,
,"celebrate","true",1,,"archer_lvl4_cheer1","true","true",110,"sc/characters.sc",,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",110,,,,,,,,,,
,"spawn","true",1,,"archer_lvl4_cheer1","true","true",110,"sc/characters.sc",,,,,,,,,
"Archer_new_lvl5",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast","Scale","SWF",,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean","int","String",,,,,,,,,
,"walk","true",,,"archer_lvl5_run1","true","true",110,"sc/characters.sc",,,,,,,,,
,"idle","true",10,,"archer_lvl5_idle1","true","true",110,"sc/characters.sc",,,,,,,,,
,"attack","true",1,5,"archer_lvl5_attack1","false","true",110,"sc/characters.sc",,,,,,,,,
,"celebrate","true",1,,"archer_lvl5_cheer1","true","true",110,"sc/characters.sc",,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",110,,,,,,,,,,
,"spawn","true",1,,"archer_lvl5_cheer1","true","true",110,"sc/characters.sc",,,,,,,,,
"Archer",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,,
,"walk","true",,,"archer1_run1","true","true",,,,,,,,,,,
,"idle","true",10,,"archer1_idle1","true","true",,,,,,,,,,,
,,"true",2,,"archer1_idle1","true","true",,,,,,,,,,,
,"attack","true",1,5,"archer1_attack1","false","true",,,,,,,,,,,
,,"true",1,5,"archer1_attack1","false","true",,,,,,,,,,,
,"celebrate","true",1,,"archer1_cheer1","true","true",,,,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",,,,,,,,,,,
,"spawn","true",1,,"archer1_cheer1","true","true",,,,,,,,,,,
"Archer2",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,,
,"walk","true",,,"archer2_run1","true","true",,,,,,,,,,,
,"idle","true",10,,"archer2_idle1","true","true",,,,,,,,,,,
,,"true",2,,"archer2_idle1","true","true",,,,,,,,,,,
,"attack","true",1,5,"archer2_attack1","false","true",,,,,,,,,,,
,,"true",1,5,"archer2_attack1","false","true",,,,,,,,,,,
,"celebrate","true",1,,"archer2_cheer1","true","true",,,,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",,,,,,,,,,,
,"spawn","true",1,,"archer2_cheer1","true","true",,,,,,,,,,,
"Archer3",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,,
,"walk","true",,,"archer3_run1","true","true",,,,,,,,,,,
,"idle","true",10,,"archer3_idle1","true","true",,,,,,,,,,,
,,"true",2,,"archer3_idle1","true","true",,,,,,,,,,,
,"attack","true",1,5,"archer3_attack1","false","true",,,,,,,,,,,
,,"true",1,5,"archer3_attack1","false","true",,,,,,,,,,,
,"celebrate","true",1,,"archer3_cheer1","true","true",,,,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",,,,,,,,,,,
,"spawn","true",1,,"archer3_cheer1","true","true",,,,,,,,,,,
"Archer6",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,,
,"walk","true",,,"archer6_run1","true","true",,,,,,,,,,,
,"idle","true",10,,"archer6_idle1","true","true",,,,,,,,,,,
,,"true",2,,"archer6_idle1","true","true",,,,,,,,,,,
,"attack","true",1,5,"archer6_attack1","false","true",,,,,,,,,,,
,,"true",1,5,"archer6_attack1","false","true",,,,,,,,,,,
,"celebrate","true",1,,"archer6_cheer1","true","true",,,,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",,,,,,,,,,,
,"spawn","true",1,,"archer6_cheer1","true","true",,,,,,,,,,,
"Archer7",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,,
,"walk","true",,,"archer7_run1","true","true",,,,,,,,,,,
,"idle","true",10,,"archer7_idle1","true","true",,,,,,,,,,,
,,"true",2,,"archer7_idle1","true","true",,,,,,,,,,,
,"attack","true",1,5,"archer7_attack1","false","true",,,,,,,,,,,
,,"true",1,5,"archer7_attack1","false","true",,,,,,,,,,,
,"celebrate","true",1,,"archer7_cheer1","true","true",,,,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",,,,,,,,,,,
,"spawn","true",1,,"archer7_cheer1","true","true",,,,,,,,,,,
"Archer8",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,,
,"walk","true",,,"archer8_run1","true","true",,,,,,,,,,,
,"idle","true",10,,"archer8_idle1","true","true",,,,,,,,,,,
,,"true",2,,"archer8_idle1","true","true",,,,,,,,,,,
,"attack","true",1,5,"archer8_attack1","false","true",,,,,,,,,,,
,,"true",1,5,"archer8_attack1","false","true",,,,,,,,,,,
,"celebrate","true",1,,"archer8_cheer1","true","true",,,,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",,,,,,,,,,,
,"spawn","true",1,,"archer8_cheer1","true","true",,,,,,,,,,,
"Archer9",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,,
,"walk","true",,,"archer9_run1","true","true",,,,,,,,,,,
,"idle","true",10,,"archer9_idle1","true","true",,,,,,,,,,,
,,"true",2,,"archer9_idle1","true","true",,,,,,,,,,,
,"attack","true",1,5,"archer9_attack1","false","true",,,,,,,,,,,
,,"true",1,5,"archer9_attack1","false","true",,,,,,,,,,,
,"celebrate","true",1,,"archer9_cheer1","true","true",,,,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",,,,,,,,,,,
,"spawn","true",1,,"archer9_cheer1","true","true",,,,,,,,,,,
"Archer10",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,,
,"walk","true",,,"archer10_run1","true","true",,,,,,,,,,,
,"idle","true",10,,"archer10_idle1","true","true",,,,,,,,,,,
,,"true",2,,"archer10_idle1","true","true",,,,,,,,,,,
,"attack","true",1,5,"archer10_attack1","false","true",,,,,,,,,,,
,,"true",1,5,"archer10_attack1","false","true",,,,,,,,,,,
,"celebrate","true",1,,"archer10_cheer1","true","true",,,,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",,,,,,,,,,,
,"spawn","true",1,,"archer10_cheer1","true","true",,,,,,,,,,,
"Giant",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,,
,"walk","true",,,"giant_walk1","true","true",,,,,,,,,,,
,"idle","true",10,,"giant_idle1","true","true",,,,,,,,,,,
,,"true",2,,"giant_idle1","true","true",,,,,,,,,,,
,"attack","true",1,14,"giant_attack3","false","true",,,,,,,,,,,
,,"true",1,16,"giant_attack2","false","true",,,,,,,,,,,
,,"true",1,14,"giant_attack3","false","true",,,,,,,,,,,
,"celebrate","true",4,,"giant_idle1","true","true",,,,,,,,,,,
,,"true",1,,"giant_idle1","true","true",,,,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",,,,,,,,,,,
"Giant2",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,,
,"walk","true",,,"giant2_walk1","true","true",,,,,,,,,,,
,"idle","true",10,,"giant2_idle1","true","true",,,,,,,,,,,
,,"true",2,,"giant2_idle1","true","true",,,,,,,,,,,
,"attack","true",1,14,"giant2_attack3","false","true",,,,,,,,,,,
,,"true",1,16,"giant2_attack2","false","true",,,,,,,,,,,
,,"true",1,14,"giant2_attack3","false","true",,,,,,,,,,,
,"celebrate","true",4,,"giant2_idle1","true","true",,,,,,,,,,,
,,"true",1,,"giant2_idle1","true","true",,,,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",,,,,,,,,,,
"Giant3",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,,
,"walk","true",,,"giant3_walk1","true","true",,,,,,,,,,,
,"idle","true",10,,"giant3_idle1","true","true",,,,,,,,,,,
,,"true",2,,"giant3_idle1","true","true",,,,,,,,,,,
,"attack","true",1,14,"giant3_attack3","false","true",,,,,,,,,,,
,,"true",1,16,"giant3_attack2","false","true",,,,,,,,,,,
,,"true",1,14,"giant3_attack3","false","true",,,,,,,,,,,
,"celebrate","true",4,,"giant3_idle1","true","true",,,,,,,,,,,
,,"true",1,,"giant3_idle1","true","true",,,,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",,,,,,,,,,,
"Giant6",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,,
,"walk","true",,,"giant6_walk1","true","true",,,,,,,,,,,
,"idle","true",10,,"giant6_idle1","true","true",,,,,,,,,,,
,,"true",2,,"giant6_idle1","true","true",,,,,,,,,,,
,"attack","true",1,14,"giant6_attack3","false","true",,,,,,,,,,,
,,"true",1,16,"giant6_attack2","false","true",,,,,,,,,,,
,,"true",1,14,"giant6_attack3","false","true",,,,,,,,,,,
,"celebrate","true",4,,"giant6_idle1","true","true",,,,,,,,,,,
,,"true",1,,"giant6_idle1","true","true",,,,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",,,,,,,,,,,
"Giant7",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,,
,"String","boolean","int","int","String","boolean","boolean",,,,,,,,,,,
,"walk","true",,,"giant7_walk1","true","true",,,,,,,,,,,
,"idle","true",10,,"giant7_idle1","true","true",,,,,,,,,,,
,,"true",2,,"giant7_idle1","true","true",,,,,,,,,,,
,"attack","true",1,14,"giant7_attack3","false","true",,,,,,,,,,,
,,"true",1,16,"giant7_attack2","false","true",,,,,,,,,,,
,,"true",1,14,"giant7_attack3","false","true",,,,,,,,,,,
,"celebrate","true",4,,"giant7_idle1","true","true",,,,,,,,,,,
,,"true",1,,"giant7_idle1","true","true",,,,,,,,,,,
,"die","false",1,,"barbarian_death_1","false","true",,,,,,,,,,,
"Giant8",,,,,,,,,,,,,,,,,,
,"Name","HasDirections","VariationWeight","ActionFrame","ExportName","Looping","StopToLast",,,,,,,,,,,
