"Name","MapInstanceName","MapDependencies","TID","ExpLevel","Type","TutorialUnlockTHLevel","TutorialTHLevel","minRecommendedTHLevel","UnitType","UnitCount","LevelFile","Gold","Elixir","DarkElixir","AlwaysUnlocked","PlayerName","AllianceName","AllianceBadge","SinglePlayer","AllianceUnitType","AllianceUnitLevel","AllianceUnitCount","FixedArmyUnitType","FixedArmyUnitLevel","FixedArmyUnitCount","FixedArmyUnitAlliance","FixedArmyUnitPet","FixedArmyUnitPetLevel","FixedArmySkin","DeploySteps","UseFullMapSize","DefendingHero","DefendingHeroLevel","DefendingHeroSkin","VillageBackground","AttackTimeSeconds"
"NPC53","npc53","NPC52","TID_NPC53",17,,,,10,,,"level/npc51.json",350000,350000,3000,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC54","npc54","NPC53","TID_NPC54",17,,,,10,,,"level/npc52.json",400000,400000,3500,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC55","npc55","NPC54","TID_NPC55",17,,,,10,,,"level/npc53.json",400000,400000,4000,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC56","npc56","NPC55","TID_NPC56",18,,,,10,,,"level/npc54.json",450000,450000,4000,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC57","npc57","NPC56","TID_NPC57",18,,,,10,,,"level/npc55.json",450000,450000,4500,,,,,"TRUE","Dragon",7,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"Balloon",8,3,,,,,,,,,,,,,,
"NPC58","npc58","NPC57","TID_NPC58",18,,,,10,,,"level/npc56.json",500000,500000,4500,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC59","npc59","NPC58","TID_NPC59",18,,,,10,,,"level/npc57.json",500000,500000,5000,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC60","npc60","NPC59","TID_NPC60",18,,,,11,,,"level/npc58.json",550000,550000,5000,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC61","npc61","NPC59","TID_NPC61",18,,,,11,,,"level/npc59.json",550000,550000,5500,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC62","npc62","NPC60","TID_NPC62",18,,,,11,,,"level/npc60.json",600000,600000,5500,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC63","npc63","NPC61","TID_NPC63",18,,,,11,,,"level/npc61.json",600000,600000,6000,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC64","npc64","NPC63","TID_NPC64",18,,,,11,,,"level/npc62.json",650000,650000,6000,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC65","npc65","NPC64","TID_NPC65",18,,,,11,,,"level/npc63.json",650000,650000,6500,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC66","npc66","NPC65","TID_NPC66",19,,,,11,,,"level/npc64.json",700000,700000,6500,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC67","npc67","NPC66","TID_NPC67",19,,,,11,,,"level/npc65.json",700000,700000,7000,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC68","npc68","NPC67","TID_NPC68",19,,,,12,,,"level/npc66.json",750000,750000,7000,,,,,"TRUE","Goblin",7,40,,,,,,,,,,,,,,
"NPC69","npc69","NPC68","TID_NPC69",19,,,,12,,,"level/npc67.json",750000,750000,7500,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC70","npc70","NPC68","TID_NPC70",19,,,,12,,,"level/npc68.json",800000,800000,7500,,,,,"TRUE","Electro Dragon",3,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"Golem",8,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"Dragon",7,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"PEKKA",8,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"Warrior Girl",7,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"Warlock",4,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"Bowler",4,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"BabyDragon",6,1,,,,,,,,,,,,,,
"NPC71","npc71","NPC70","TID_NPC71",19,,,,12,,,"level/npc69.json",800000,800000,8000,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC72","npc72","NPC71","TID_NPC72",19,,,,12,,,"level/npc70.json",850000,850000,8000,,,,,"TRUE",,,,,,,,,,,,,,,,,
"NPC73","npc73","NPC72","TID_NPC73",19,,,,12,,,"level/npc71.json",1000000,1000000,10000,,,,,"TRUE","Dragon",5,3,,,,,,,,,,,,,,
"NPC74","npc74","NPC73","TID_NPC74",19,,,,12,,,"level/npc72.json",1250000,1250000,12500,,,,,"TRUE","Electro Dragon",3,3,,,,,,,,,,,,,,
"NPC75","npc75","NPC74","TID_NPC75",19,,,,12,,,"level/npc73.json",2500000,2500000,25000,,,,,"TRUE","GoblinDragon",1,1,,,,,,,,,,,,,,
"RE1",,,,,"CHALLENGE",,,,,,"level/challenge_test.json",650000,650000,6000,,,,,"TRUE",,,,"Electro Dragon",3,2,,,,,,"TRUE",,,,60000000,
,,,,,,,,,,,,,,,,,,,,,,,"Warlock",4,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Bowler",4,40,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Barbarian King",30,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Siege Machine Flyer",2,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Warrior Girl",7,8,"TRUE",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Freeze",5,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Poison",4,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Archer Queen",35,1,,,,,,,,,,,
"CHALLENGE_TH6_GIWIWA",,,"TID_CHALLENGE_TH6_GIWIWA",,"TUTORIAL",6,6,,,,"level/challenge_th6_giwiwa.json",150000,150000,0,,,,,"TRUE",,,,"Giant",3,14,,,,,"TH6_Giwiwa_Giant1","true",,,,60000000,
,,,,,,,,,,,,,,,,,,,,,,,"Wizard",3,16,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Wall Breaker",3,8,,,,,"TH6_Giwiwa_WallBreakers1",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"HealingWave",3,2,,,,,"Wait_5000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH6_Giwiwa_Giant2",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH6_Giwiwa_Heal1",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH6_Giwiwa_Wizards1",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH6_Giwiwa_WallBreakers2",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_5000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH6_Giwiwa_Wizards2",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH6_Giwiwa_Wait_For_Heal",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH6_Giwiwa_Heal2",,,,,,
"CHALLENGE_TH11_LAVALOON",,,"TID_CHALLENGE_TH11_LAVALOON",,"TUTORIAL",11,11,,,,"level/challenge_th11_lavaloon.json",500000,500000,5000,,,,,"TRUE",,,,"Balloon",7,29,,,,,"TH11_Lavaloon_Info_Eagle","true","Archer Queen",50,,60000000,
,,,,,,,,,,,,,,,,,,,,,,,"Gargoyle",7,5,,,,,"TH11_Lavaloon_Info_Queen",,"Barbarian King",50,,,
,,,,,,,,,,,,,,,,,,,,,,,"AirDefenceSeeker",4,3,,,,,"TH11_Lavaloon_Jump",,"Grand Warden",20,,,
,,,,,,,,,,,,,,,,,,,,,,,"Haste",5,2,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"SpeedUp",4,4,,,,,"TH11_Lavaloon_IceGolem",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Poison",5,1,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Archer Queen",50,1,,,,,"TH11_Lavaloon_BarbarianKing",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Barbarian King",50,1,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Grand Warden",20,1,,,,,"TH11_Lavaloon_ArcherQueen",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Jump",3,1,,,,,"TH11_Lavaloon_Wait_For_KingAbility",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Ice Golem",3,1,,,,,"TH11_Lavaloon_KingAbility",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Siege Bowler Balloon",2,1,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Balloon",7,7,"true",,,,"TH11_Lavaloon_Poison",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_7500ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_7500ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_7500ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_2500ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH11_Lavaloon_Haste1",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH11_Lavaloon_Hounds1",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH11_Lavaloon_Balloons1",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH11_Lavaloon_GrandWarden",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH11_Lavaloon_StoneSlammer",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH11_Lavaloon_Balloons2",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH11_Lavaloon_Hounds2",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH11_Lavaloon_Balloons3",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH11_Lavaloon_Rage",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH11_Lavaloon_WardenAbility",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_7500ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH11_Lavaloon_Haste2",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_2500ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH11_Lavaloon_Minions",,,,,,
"CHALLENGE_TH5_LOON",,,"TID_CHALLENGE_TH5_LOON",,"TUTORIAL",5,5,,,,"level/challenge_th5_loon.json",125000,125000,0,,,,,"TRUE",,,,"Balloon",2,27,,,,,"TH5_Loon_Loons1","true",,,,60000000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_500ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH5_Loon_Loons2",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_500ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH5_Loon_Loons3",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_500ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH5_Loon_Loons4",,,,,,
"CHALLENGE_TH7_DRAGON",,,"TID_CHALLENGE_TH7_DRAGON",,"TUTORIAL",7,7,,,,"level/challenge_th7_dragon.json",200000,200000,0,,,,,"TRUE",,,,"Dragon",2,10,,,,,"TH7_Dragon_Info_AirSweeper","true","Barbarian King",5,,60000000,
,,,,,,,,,,,,,,,,,,,,,,,"LighningStorm",4,6,,,,,"TH7_Dragon_Lightning",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Barbarian King",5,1,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH7_Dragon_BarbarianKing",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH7_Dragon_Dragons1",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_7500ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH7_Dragon_Dragons2",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH7_Dragon_Dragons3",,,,,,
"CHALLENGE_TH12_BOWIGI",,,"TID_CHALLENGE_TH12_BOWIGI",,"TUTORIAL",12,12,,,,"level/challenge_th12_bowigi.json",600000,600000,6000,,,,,"TRUE",,,,"Giant",9,5,,,,,"TH12_Bowigi_Balloon1","true","Barbarian King",40,,60000000,
,,,,,,,,,,,,,,,,,,,,,,,"Wall Breaker",8,7,,,,,"Wait_2500ms",,"Archer Queen",40,,,
,,,,,,,,,,,,,,,,,,,,,,,"Balloon",8,3,,,,,"TH12_Bowigi_Healers",,"Grand Warden",20,,,
,,,,,,,,,,,,,,,,,,,,,,,"Wizard",9,5,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Healer",5,5,,,,,"TH12_Bowigi_ArcherQueen",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"BabyDragon",6,1,,,,,"Wait_7500ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Warlock",4,3,,,,,"Wait_7500ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Bowler",4,15,,,,,"Wait_2500ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Siege Machine Ram",3,1,,,,,"TH12_Bowigi_Rage1",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Giant",9,8,"TRUE",,,,"Wait_7500ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Barbarian King",60,1,,,,,"Wait_2500ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Archer Queen",60,1,,,,,"TH12_Bowigi_Giants",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Grand Warden",30,1,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Haste",5,3,,,,,"TH12_Bowigi_WallWrecker",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Jump",3,1,,,,,"TH12_Bowigi_GrandWarden",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Freeze",7,2,,,,,"TH12_Bowigi_BarbarianKing",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Poison",5,1,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH12_Bowigi_Witches",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH12_Bowigi_Bowlers",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH12_Bowigi_WallBreakers",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH12_Bowigi_Freeze1",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_2500ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH12_Bowigi_Freeze2",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_1000ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH12_Bowigi_Rage2",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_2500ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH12_Bowigi_Jump",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_2500ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH12_Bowigi_KingAbility",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH12_Bowigi_WaitForWarden",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WardenAbility",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_7500ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TH12_Bowigi_CleanUp",,,,,,
"CHALLENGE_TH4_GIANT",,,"TID_CHALLENGE_TH4_GIANT",,"TUTORIAL",4,4,,,,"level/challenge_th4_giant.json",100000,100000,0,,,,,"TRUE",,,,"Giant",2,13,,,,,"TH4_Giant_Giants1","TRUE",,,,60000000,
,,,,,,,,,,,,,,,,,,,,,,,"Wall Breaker",2,2,,,,,"Wait_500ms",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Goblin",2,11,,,,,"TH4_Giant_WallBreakers",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wait_5000ms",,,,,,
