"Name","SWF","ExportName","ParticleEmitter","AltParticleEmitter","EmitterDelayMs","IsoLayer","CameraShake","CameraShakeTimeMS","CameraShakeInReplay","AttachToParent","OrientToParent","SortInFrontOfParent","DestroyWhenParentDies","DetachAfterStart","Targeted","Looping","Beam","MaxCount","MinLifeTime","Sound","Volume","MinPitch","MaxPitch","LowEndSound","LowEndVolume","LowEndMinPitch","LowEndMaxPitch","SoundDelay","StopSound","PitchIncrease","OffsetFromGunBone","AttachLocator","OffsetX","OffsetY","OffsetZ","Scale","LifeTimeScale"
"Air Defense Barrel Hit",,,"AirDefenseBarrel_flash",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/cannon_fire3.ogg",80,95,105,"sfx/mortar_hit_01.ogg",80,95,105,0,"false",0,"false",,0,0,0,100,100
,,,"AirDefenseBarrel_Fire_explosion",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefenseBarrel_Fire_balls",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefenseBarrel_mushcloud",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefenseBarrel_spark",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefenseBarrel_dustring",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefenseBarrel_bomb_area",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air Defense Barrel Hit With Offset",,,"AirDefenseBarrel_flash_z_offset",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/cannon_fire3.ogg",80,95,105,"sfx/mortar_hit_01.ogg",80,95,105,0,"false",0,"false",,0,0,0,100,100
,,,"AirDefenseBarrel_Fire_explosion_z_offset",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefenseBarrel_Fire_balls_z_offset",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefenseBarrel_mushcloud_z_offset",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefenseBarrel_spark_z_offset",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefenseBarrel_dustring_z_offset",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"AirDefenseBarrel_bomb_area_z_offset",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alliance",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/alliance_jingle_v2.ogg",90,75,75,"sfx/xp_gain_06.ogg",80,100,100,0,"false",0,"false",,0,0,0,100,100
"Alliance Castle Pickup",,,"Grass",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/alliance_build_pickup_03.ogg",80,100,100,"sfx/wall_pickup_01.ogg",80,100,100,0,"false",0,"false",,0,0,0,100,100
"Alliance Castle Placing",,,"Place",,0,"Objects",0,0,"false","true","false","false","false","false","false","false","false",0,0,"sfx/alliance_build_drop_04.ogg",80,100,100,"sfx/cannon_drop2.ogg",60,100,100,0,"false",0,"false",,0,0,0,100,100
,,,"Grass",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AmazonQ ability hit",,,"Spark Trail",,0,"Objects",0,0,"false","true","false","false","false","false","false","false","false",0,0,"sfx/rg_atk_hit_01.ogg",80,95,105,"sfx/rg_atk_hit_01.ogg",80,95,105,0,"false",0,"false",,0,0,0,100,100
,,,"javelin_hit",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"javelin_hit_sharp",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"hero_hit2",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"hero_hit3",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"hero_hit4",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ancient Hit",,,"doom_crater",,0,"Ground",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/ancient_explo_01.ogg",90,95,105,"sfx/explosion_02.ogg",80,95,105,0,"false",0,"false",,0,0,0,100,100
,,,"doom_blast_top",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Angry Baby Dragon",,,,,,"Objects",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/angry_dragon_01.ogg",80,95,95,,100,100,100,0,"false",0,"false",,0,0,0,100,100
"Archer Attack",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/arrow_hit_07.ogg",50,90,110,"sfx/arrow_hit_07.ogg",50,90,110,0,"false",0,"false",,0,0,0,100,100
,,,,,,,,,,,,,,,,,,,,"sfx/arrow_hit_07v2.ogg",50,90,110,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"sfx/arrow_hit_07v3.ogg",50,90,110,,,,,,,,,,,,,,
"Archer Deploy",,,"Deploy",,0,"Objects",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/archer_deploy_09.ogg",70,100,100,"sfx/gob_attack_01.ogg",40,100,100,0,"false",0,"false",,0,0,0,100,100
,,,,,,,,,,,,,,,,,,,,"sfx/archer_deploy_09v2.ogg",70,100,100,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"sfx/archer_deploy_09v3.ogg",70,100,100,,,,,,,,,,,,,,
"Archer Die",,,"Splat",,0,"Top",0,0,"false","true","false","false","false","false","false","false","false",0,0,"sfx/archer_death_05.ogg",30,95,105,"sfx/archer_death_05.ogg",40,95,105,0,"false",0,"false",,0,0,0,100,100
,,,,,,,,,,,,,,,,,,,,"sfx/archer_death_05v2.ogg",30,95,105,,,,,,,,,,,,,,
"Archer Hit",,,"Hit",,0,"Objects",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/arrow_hit_12.ogg",50,90,110,"sfx/arrow_hit_12.ogg",60,90,110,0,"false",0,"false",,0,0,0,100,100
"Archer Queen Deploy",,,,,,"Objects",10,100,"true","false","false","false","false","false","false","false","false",0,0,"sfx/archer_queen_deploy_01.ogg",90,100,100,"sfx/archer_queen_deploy_01.ogg",90,100,100,0,"false",0,"false",,0,0,0,100,100
"Archer Queen Die",,,"Mortar_lightFlash",,0,"Top",100,1000,"true","false","false","false","false","false","false","false","false",0,0,"sfx/archer_queen_die_01.ogg",80,100,100,"sfx/archer_queen_die_01.ogg",80,100,100,0,"false",0,"false",,0,0,0,100,100
,,,"Ring",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Place",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"MortarHit_lvl6",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"hero_die_force",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Grass",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Grass",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Archer Queen Hit",,,"hero_arrow_trail1",,0,"Objects",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/explosive_arrow_01v2.ogg",65,100,100,"sfx/mage_attack_02.ogg",50,120,120,0,"false",0,"false",,0,0,0,100,100
,,,"hero_hit2",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"hero_hit3",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"hero_hit4",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Arrow_Tower_lightFlash",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"xmas_fun2",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Archer Queen Scream",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,,,,,,100,100,100,0,"false",0,"false",,0,0,0,100,100
"Archer2 Attack",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/new_archer_atk_01.ogg",50,98,102,"sfx/arrow_hit_07.ogg",50,90,110,0,"false",0,"false",,0,0,0,100,100
,,,,,,,,,,,,,,,,,,,,"sfx/new_archer_atk_02.ogg",50,98,102,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"sfx/new_archer_atk_03.ogg",50,98,102,,,,,,,,,,,,,,
"Archer2 Deploy",,,"Deploy",,0,"Objects",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/crowwbow_archer_01.ogg",70,98,102,"sfx/gob_attack_01.ogg",40,100,100,0,"false",0,"false",,0,0,0,100,100
,,,,,,,,,,,,,,,,,,,,"sfx/crowwbow_archer_02.ogg",70,98,102,,,,,,,,,,,,,,
"Archer2 Die",,,"Splat",,0,"Top",0,0,"false","true","false","false","false","false","false","false","false",0,0,"sfx/archer_death_05.ogg",30,95,105,"sfx/archer_death_05.ogg",40,95,105,0,"false",0,"false",,0,0,0,100,100
,,,,,,,,,,,,,,,,,,,,"sfx/archer_death_05v2.ogg",30,95,105,,,,,,,,,,,,,,
"Archer2 Hit",,,"Hit",,0,"Objects",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/new_archer_impact_01.ogg",40,90,110,"sfx/arrow_hit_12.ogg",60,90,110,0,"false",0,"false",,0,0,0,100,100
"ArcherQueen Attack",,,"ArcherQueen_attack",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/archer_queen_attack_02.ogg",80,95,105,"sfx/archer_queen_attack_02.ogg",80,95,105,0,"false",0,"false",,0,0,0,100,100
,,,,,,,,,,,,,,,,,,,,"sfx/archer_queen_attack_01.ogg",80,95,105,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"sfx/archer_queen_attack_01.ogg",80,95,105,,,,,,,,,,,,,,
"Artillery Attack",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/ancient_fire_02.ogg",85,95,105,"sfx/mortar_fire_02_with_fall.ogg",70,95,105,0,"false",0,"false",,0,0,0,100,100
"Artillery Hit",,,"Explosion_flash",,0,"Objects",60,700,"true","true","false","false","false","false","false","false","false",0,0,"sfx/mortar_hit_01.ogg",80,95,105,"sfx/mortar_hit_01.ogg",80,95,105,0,"false",0,"false",,0,0,0,100,100
,,,"Fire_explosion",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Fire_balls",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Stone_explosion",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"ArtilleryHit_mushcloud",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"ArtilleryHit_spark",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"ArtilleryHit_dustring",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Artillery Load",,,"Smoke",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/mech_eagle_reload_01.ogg",80,100,100,"sfx/mage_attack_02.ogg",80,75,80,0,"false",0,"false",,0,0,0,100,100
"Artillery No Ammo",,,"Dust2",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/mech_eagle_sad_no_ammo_01.ogg",80,100,100,"sfx/bad_move_06.ogg",80,70,80,0,"false",0,"false",,0,0,0,100,100
"Artillery Placing",,,"Place",,0,"Objects",0,0,"false","true","false","false","false","false","false","false","false",0,0,"sfx/ancient_place_mecha_eagle_01.ogg",80,100,100,"sfx/cannon_drop2.ogg",60,100,100,0,"false",0,"false",,0,0,0,100,100
,,,"Grass",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Artillery PreAttack",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/ancient_target_02.ogg",80,95,105,,70,95,105,0,"false",0,"false",,0,0,0,100,100
"Artillery Trail",,,"doom_trail_emitter",,0,"Objects",0,0,"false","true","false","false","false","false","false","true","false",6,0,,,,,,100,100,100,0,"false",0,"false",,0,0,0,100,100
"Artillery WakeUp 1",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/ancient_defcon_1.ogg",90,100,100,"sfx/ancient_defcon_1.ogg",60,100,100,0,"false",0,"false",,0,0,0,100,100
"Artillery WakeUp 2",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/ancient_defcon_2.ogg",80,100,100,"sfx/ancient_defcon_4.ogg",70,100,100,0,"false",0,"false",,0,0,0,100,100
"Artillery WakeUp 3",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/ancient_defcon_3.ogg",70,100,100,"sfx/ancient_defcon_4.ogg",80,100,100,0,"false",0,"false",,0,0,0,100,100
"Artillery WakeUp 4",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/ancient_defcon_4.ogg",60,100,100,"sfx/ancient_defcon_4.ogg",90,100,100,0,"false",0,"false",,0,0,0,100,100
"Autumn Spawn Effect",,,"hero_autumn_lightray",,60,"Objects",0,0,"false","true","false","false","false","false","false","false","false",0,0,,,,,,100,100,100,0,"false",0,"false",,0,0,0,100,100
,,,"hero_autumn_leaf_02",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"hero_autumn_leaf_03",,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"hero_autumn_leaf_04",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"hero_autumn_leaf_01",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"hero_autumn_leaf_burts",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balloon Exposion",,,"Stone",,0,"Objects",0,0,"false","false","false","false","false","false","false","false","false",8,0,"sfx/cannon_fire3.ogg",60,85,105,"sfx/mortar_hit_01.ogg",50,110,120,0,"false",0,"false",,0,0,0,100,100
,,,"Grass",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Ring",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Wizard_Tower_lightFlash",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Explosion_3",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Fire_balls",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Smoke",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Balloon_Die_wood",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Balloon_Die_bloon",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balloon Goblin Attack",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/cannon_fire3.ogg",70,90,110,"sfx/mortar_hit_01.ogg",40,150,150,0,"false",0,"false",,0,0,0,100,100
"Balloon Goblin Deploy",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/balloon_deploy_02.ogg",80,100,100,"sfx/balloon_deploy_02.ogg",80,100,100,0,"false",0,"false",,0,0,0,100,100
"Balloon Rocket Deploy",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/hasty_balloon_dep_01.ogg",80,100,100,"sfx/hasty_balloon_dep_01.ogg",80,100,100,0,"false",0,"false",,0,0,0,100,100
"Balloon Goblin Die",,,,,,"Top",0,0,"false","true","false","false","false","false","false","false","false",0,0,"sfx/balloon_die_01.ogg",80,95,105,"sfx/mage_attack_02.ogg",70,60,75,0,"false",0,"false",,0,0,0,100,100
"Balloon Goblin Hit",,,"Wizard_Tower_lightFlash",,0,"Top",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/balloon_hit_01.ogg",80,95,105,"sfx/balloon_hit_01.ogg",70,95,105,0,"false",0,"false",,0,0,0,100,100
,,,"Ring",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Grass",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Stone",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Explosion_3",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balloon Skeleton Deploy",,,"Deploy",,0,"Ground",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/upfromground_05.ogg",70,95,105,"sfx/healer_hit_01.ogg",40,60,70,0,"false",0,"false",,0,0,0,100,100
,,,"Spawn_Smoke_ring",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Spawn_Dust",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barbarian Attack",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/barbarian_sword_swing_hit_14.ogg",40,90,110,"sfx/barbarian_sword_swing_hit_14.ogg",40,90,110,0,"false",0,"false",,0,0,0,100,100
,,,,,,,,,,,,,,,,,,,,"sfx/barbarian_sword_swing_hit_14v3.ogg",40,90,110,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"sfx/barbarian_sword_swing_hit_14v2.ogg",40,90,110,,,,,,,,,,,,,,
"Barbarian Deploy",,,"Deploy",,0,"Objects",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/barb_deploy_11.ogg",40,100,100,"sfx/gob_attack_01.ogg",40,100,100,0,"false",0,"false",,0,0,0,100,100
,,,,,,,,,,,,,,,,,,,,"sfx/barb_deploy_11v2.ogg",40,100,100,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"sfx/barb_deploy_11v3.ogg",40,100,100,,,,,,,,,,,,,,
"Barbarian Die",,,"Splat",,0,"Top",0,0,"false","true","false","false","false","false","false","false","false",0,0,"sfx/barbarian_death_01.ogg",50,90,110,"sfx/barbarian_death_01.ogg",50,90,110,0,"false",0,"false",,0,0,0,100,100
,,,,,,,,,,,,,,,,,,,,"sfx/barbarian_death_02.ogg",50,90,110,,,,,,,,,,,,,,
"Barbarian Hit",,,"Hit",,0,"Objects",0,0,"false","true","false","false","false","false","false","false","false",0,0,"sfx/barbarian_hit_stuff2.ogg",40,90,110,"sfx/barbarian_hit_stuff2.ogg",40,90,110,0,"false",0,"false",,0,0,0,100,100
,,,,,,,,,,,,,,,,,,,,"sfx/barbarian_hit_stuff3.ogg",35,90,110,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"sfx/barbarian_hit_stuff4.ogg",30,90,110,,,,,,,,,,,,,,
"Barbarian King Attack",,,,,,"Objects",0,0,"false","true","false","false","false","false","false","false","false",0,0,"sfx/barbarian_king_attack_01.ogg",60,75,130,"sfx/barbarian_king_attack_01.ogg",60,75,130,0,"false",0,"false",,0,0,0,100,100
"Barbarian King Deploy",,,,,,"Objects",20,200,"true","false","false","false","false","false","false","false","false",0,0,"sfx/barbarian_king_deploy.ogg",90,100,100,"sfx/barbarian_king_deploy.ogg",90,100,100,0,"false",0,"false",,0,0,0,100,100
"Barbarian King Die",,,"Mortar_lightFlash",,0,"Top",100,1000,"true","false","false","false","false","false","false","false","false",0,0,"sfx/barbarian_king_die_01.ogg",90,100,100,"sfx/barbarian_king_die_01.ogg",90,100,100,0,"false",0,"false",,0,0,0,100,100
,,,"Ring",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Place",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"MortarHit_lvl6",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"hero_die_force",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Force",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Grass",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Smoke",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barbarian King Hit",,,"Arrow_Tower_lightFlash",,0,"Objects",0,0,"false","true","false","false","false","false","false","false","false",0,0,"sfx/barbarian_hit_stuff4.ogg",70,55,65,"sfx/barbarian_hit_stuff.ogg",50,55,65,0,"false",0,"false",,0,0,0,100,100
,,,"hero_hit2",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"hero_hit3",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"hero_hit4",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Deploy",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"hero_hit1",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"hero_hit5",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barbarian King Scream",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,,,,,,100,100,100,0,"false",0,"false",,0,0,0,100,100
"Barbarian2 Attack",,,,,,"None",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/barbarian_sword_swing_hit_14.ogg",40,90,110,"sfx/barbarian_sword_swing_hit_14.ogg",40,90,110,0,"false",0,"false",,0,0,0,100,100
,,,,,,,,,,,,,,,,,,,,"sfx/barbarian_sword_swing_hit_14v3.ogg",40,90,110,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"sfx/barbarian_sword_swing_hit_14v2.ogg",40,90,110,,,,,,,,,,,,,,
"Barbarian2 Deploy",,,"Deploy",,0,"Objects",0,0,"false","false","false","false","false","false","false","false","false",0,0,"sfx/barb_deploy_11.ogg",40,100,100,"sfx/gob_attack_01.ogg",40,100,100,0,"false",0,"false",,0,0,0,100,100
,,,,,,,,,,,,,,,,,,,,"sfx/barb_deploy_11v2.ogg",40,100,100,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"sfx/barb_deploy_11v3.ogg",40,100,100,,,,,,,,,,,,,,
"Barbarian2 Die",,,"Splat",,0,"Top",0,0,"false","true","false","false","false","false","false","false","false",0,0,"sfx/barbarian_death_01.ogg",50,90,110,"sfx/barbarian_death_01.ogg",50,90,110,0,"false",0,"false",,0,0,0,100,100
,,,,,,,,,,,,,,,,,,,,"sfx/barbarian_death_02.ogg",50,90,110,,,,,,,,,,,,,,
