"Name","TID","InfoTID","SWF","ExportName","ExportNameConstruction","BuildResource","BuildCost","RequiredExpLevel","MaxCount","Width","Height","PassableSubtilesAtEdge","Icon","BaseGfx","ExportNameBase","IsRed","NotInShop","BPReward","VillageType","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","LightsOn","DecoPath","ActiveEffect","ActiveEffectDelay"
"Singapore Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_sing_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"PEKKA Statue","TID_DECORATION_PEKKA_STATUE",,"sc/buildings.sc","deco_pekka_statue","generic_construction_state1","Gold",1000000,75,1,2,2,1,,1,"statue_base",,,,,,,,,,,,,,
"Russia Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_rus_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"Denmark Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_den_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"Greece Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_greece_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,
"BK Statue","TID_DECORATION_BK_STATUE",,"sc/buildings.sc","deco_barbarian_king_statue","generic_construction_state1","Diamonds",500,,1,2,2,1,,1,"statue_base","TRUE",,,,,,,,,,,,,
"Torch 2","TID_DECORATION_TORCH",,"sc/buildings.sc","deco_torch1",,"Gold2",5000,1,4,2,2,1,,,"deco_torch1_base",,,,1,,,,,,,"true",,,
"Small_Pine Tree","TID_DECORATION_SMALL_PINETREE",,"sc/buildings2.sc","env_small_pine_tree_1x1","generic_construction_state1","Gold2",10000,40,4,2,2,1,,4,"pine_tree2_base",,,,1,,,,,,,,,,
"Big_Pine Tree","TID_DECORATION_PINETREE",,"sc/buildings2.sc","env_big_pine_tree_1x1","generic_construction_state1","Gold2",10000,40,4,2,2,1,,4,"pine_tree2_base",,,,1,,,,,,,,,,
"Old Barbarian Statue","TID_DECORATION_ANCIENT_BARBARIAN_STATUE",,"sc/buildings2.sc","env_barbarian_stone_3x3","generic_construction_state1","Diamonds",250,60,1,3,3,1,,4,"large_stone_b_base",,,,1,,,,,,,,,,
"Stone Path","TID_STONE_PATH",,"sc/buildings2.sc","stone_path",,"Gold2",5000,50,25,1,1,1,,0,,,,,1,,,,,,,,"true",,
"Archer Queen Statue","TID_DECORATION_ARCHER_QUEEN_STATUE",,"sc/buildings.sc","deco_archer_queen_statue","generic_construction_state1","Diamonds",500,50,1,2,2,1,,4,"pine_tree2_base",,,,1,,,,,,,,,,
"Target","TID_TARGET",,"sc/buildings2.sc","deco_target",,"Gold2",20000,40,3,2,2,1,,,"deco_flowerbox1_base",,,,1,,,,,,,,,,
"Fireplace","TID_FIREPLACE",,"sc/buildings2.sc","Fireplace_01",,"Gold2",20000,40,2,2,2,1,,,"deco_flowerbox1_base",,,,1,,,,,,,"true",,,
"Builder Statue","TID_DECORATION_BUILDER_STATUE",,"sc/buildings.sc","deco_builder_statue","generic_construction_state1","Diamonds",500,,1,2,2,1,,1,"statue_base",,"TRUE",,,,,,,,,,,,
"Rex Calibur","TID_DECORATION_SWORD_IN_STONE","TID_DECORATION_SWORD_IN_STONE_INFO","sc/buildings.sc","deco_swordstone_01","generic_construction_state1","Medals",2000,,1,2,2,1,,,"statue_base",,"TRUE",,,,,,,,,"true",,"Rex Calibur Lightning",3000
"League I Statue","TID_DECORATION_LEAGUE_I_STATUE","TID_DECORATION_LEAGUE_III_STATUE_INFO","sc/buildings.sc","deco_leagueI_statue","generic_construction_state1","Medals",1000,,1,2,2,1,,,"statue_base",,"TRUE",,,,,,,,,"true",,,
"League II Statue","TID_DECORATION_LEAGUE_II_STATUE","TID_DECORATION_LEAGUE_II_STATUE_INFO","sc/buildings.sc","deco_leagueII_statue","generic_construction_state1","Medals",500,,1,2,2,1,,,"statue_base",,"TRUE",,,,,,,,,"true",,,
"League III Statue","TID_DECORATION_LEAGUE_III_STATUE","TID_DECORATION_LEAGUE_I_STATUE_INFO","sc/buildings.sc","deco_leagueIII_statue","generic_construction_state1","Medals",250,,1,2,2,1,,,"statue_base",,"TRUE",,,,,,,,,"true",,,
"Shield Statue","TID_DECORATION_WAR_SHIELD","TID_DECORATION_WAR_SHIELD_INFO","sc/buildings.sc","deco_shield_statue","generic_construction_state1","Medals",100,,1,2,2,1,,,"statue_base",,"TRUE",,,,,,,,,,,,
"Golden Hog","TID_DECORATION_GOLDEN_HOG","TID_DECORATION_GOLDEN_HOG_INFO","sc/buildings.sc","deco_golden_hog","generic_construction_state1","Diamonds",500,,3,2,2,1,,,"statue_base",,"TRUE",,,,,,,,,"true",,"Fortune_tap_01",
"Firecrackers","TID_DECORATION_FIRECRACKER","TID_DECORATION_FIRECRACKER","sc/buildings.sc","deco_firecrackers","generic_construction_state1","Diamonds",500,,3,2,2,1,,,"deco_lantern_base",,"TRUE",,1,,,,,,,"true",,"Fireworks_tap_01",
"Snowman","TID_DECORATION_SNOWMAN","TID_DECORATION_SNOWMAN_INFO","sc/buildings.sc","deco_snowman","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"deco_snowman_base",,"TRUE",,,,,,,,,"true",,"Snow_tap_01",
"BattlePassSnowman","TID_DECORATION_SNOWMAN","TID_DECORATION_SNOWMAN_INFO","sc/buildings.sc","deco_snowman","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"deco_snowman_base",,"TRUE","TRUE",,,,,,,,,,"Snow_tap_01",
"BattleMachineStatue","TID_DECORATION_BATTLEMACHINE",,"sc/buildings.sc","deco_battle_machine_statue","generic_construction_state1","Diamonds",500,,1,2,2,1,,4,"pine_tree2_base",,"TRUE",,1,,,,,,,"true",,,
"Dragon Statue","TID_DECORATION_DRAGON_STATUE",,"sc/buildings.sc","deco_dragon_statue","generic_construction_state1","Diamonds",500,,1,3,3,1,,1,"deco_base_3x3",,"TRUE",,,,,,,,,"true",,"Dragon Statue Click",2000
"Golden Goblin","TID_DECORATION_GOLDEN_GOBLIN","TID_DECORATION_GOLDEN_GOBLIN_INFO","sc/buildings.sc","deco_golden_goblin","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE",,,,,,,,,"true",,"Fortune_tap_01",
"SuperTroopStatue","TID_DECORATION_SUPER_TROOP_STATUE","TID_DECORATION_SUPER_TROOP_STATUE_INFO","sc/buildings.sc","deco_supertroop_statue","generic_construction_state1","Diamonds",500,,1,2,2,1,,1,"statue_base",,"TRUE",,,,,,,,,"true",,,
"ShortFilmStatue","TID_DECORATION_SHORT_FILM_STATUE","TID_DECORATION_SHORT_FILM_STATUE_INFO","sc/buildings.sc","deco_short_film_statue","generic_construction_state1","Diamonds",500,,1,2,2,1,,1,"statue_base",,"TRUE","TRUE",,,,,,,,,,,
"SC 10Year Fountain","TID_DECORATION_10_YEAR_FOUNTAIN","TID_DECORATION_10_YEAR_FOUNTAIN_INFO","sc/buildings.sc","deco_sc10y","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE","TRUE",,,,,,,,,,"Tap SC10 Deco",400
"Clockwork Statue","TID_DECORATION_CLOCKWORK_STATUE","TID_DECORATION_CLOCKWORK_STATUE_INFO","sc/buildings.sc","deco_clockwork","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE",,,,,,,,,"true",,"Tap Stone Deco",
"8 Year Birthday Statue","TID_DECORATION_8YEAR_BIRTHDAY_STATUE","TID_DECORATION_8YEAR_BIRTHDAY_STATUE_INFO","sc/buildings.sc","deco_8ybday","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE","TRUE",,,,,,,,,,,
"Pirate Deco","TID_DECORATION_PIRATE_ANCHOR","TID_DECORATION_PIRATE_ANCHOR_INFO","sc/buildings.sc","deco_pirate","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE",,,,,,,,,,,,
"Logmas Deco","TID_DECO_LOGMAS_TREE",,"sc/buildings.sc","deco_logmas","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE","TRUE",,,,,,,,"true",,,
"Golden Wall Breaker","TID_DECO_FIREWORK_FANBOY",,"sc/buildings.sc","deco_Golden_WB","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE",,,,,,,,,"true",,"Fireworks_tap_01",
"Jungle Deco","TID_DECO_TH14_FOUNTAIN",,"sc/buildings.sc","deco_jungle","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE","TRUE",,,,,,,,,,,
"9 Year Birthday Statue","TID_DECORATION_9YEAR_BIRTHDAY_STATUE","TID_DECORATION_9YEAR_BIRTHDAY_STATUE_INFO","sc/buildings.sc","deco_anniversary_9y","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE","TRUE",,,,,,,,"true",,,
