"Name","FileName","LocalizedName","HasEvenSpaceCharacters","isRTL","UsedSystemFont","HelpshiftSDKLanguage","HelpshiftSDKLanguageAndroid","SortOrder","TestLanguage","TestExcludes","BoomboxEnabled","BoomboxUrl","BoomboxStagingUrl","BoomBoxCommunityUrl","BoomBoxCommunityStagingUrl","BoomBoxCommunityContentShowsBadge","BoomBoxEsportsUrl","BoomBoxEsportsStagingUrl","TournamentHubUrl","TournamentHubStagingUrl","HelpshiftLanguageTagOverride","ForcedFontName","SelfHelpUrl"
"CN","localization/texts.csv","简体中文","TRUE",,"STHeitiSC-Medium","zh-Hans","zh_CN",11,,,"true","https://clashofclans.scinbox.qq.com","https://testclashofclans.scinbox.qq.com","https://clash-of-clans.videouploads.supercellcommunity.cn","https://clash-of-clans-stage.videouploads.supercellcommunity.cn","TRUE","https://clashofclans.scinbox.qq.com/esport","https://testclashofclans.scinbox.qq.com/esport","https://clashofclans.scescdn.cn/zh_CN","https://clashofclans-dev.scescdn.cn/zh_CN","CN",,"https://game-assets.tencent-cloud.com/self-help/clash-of-clans/zh_cn/index.html"
"JP","localization/texts.csv","日本語","TRUE",,"HiraKakuProN-W6","ja",,13,,,"true","https://inbox.clashofclans.com/ja","https://inbox-staging.clashofclans.com/ja","https://inbox.clashofclans.com/ja/community","https://inbox-staging.clashofclans.com/ja/community",,"https://inbox.clashofclans.com/ja/esport","https://inbox-staging.clashofclans.com/ja/esport","https://clashofclans.scescdn.com/jp","https://clashofclans-dev.scescdn.com/jp","JP",,"https://ingame.help.supercellsupport.com/clash-of-clans/ja/index.html"
"KR","localization/texts.csv","한국어","TRUE",,,"ko",,14,,,"true","https://inbox.clashofclans.com/ko","https://inbox-staging.clashofclans.com/ko","https://inbox.clashofclans.com/ko/community","https://inbox-staging.clashofclans.com/ko/community",,"https://inbox.clashofclans.com/ko/esport","https://inbox-staging.clashofclans.com/ko/esport","https://clashofclans.scescdn.com/ko","https://clashofclans-dev.scescdn.com/ko","KR",,"https://ingame.help.supercellsupport.com/clash-of-clans/ko/index.html"
"RU","localization/texts.csv","Pусский",,,,"ru",,10,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com/ru","https://inbox.clashofclans.com/ru/community","https://inbox-staging.clashofclans.com/ru/community",,"https://inbox.clashofclans.com/esport","https://inbox-staging.clashofclans.com/esport","https://clashofclans.scescdn.com/en","https://clashofclans-dev.scescdn.com/en","RU",,"https://ingame.help.supercellsupport.com/clash-of-clans/ru/index.html"
"TEXT",,"Longest Text",,,,"zh-hans","zh_CN",1000,"TRUE","AR",,,,,,,,,,,"EN",,
,,,,,,,,,,"FA",,,,,,,,,,,,,
"WORD",,"Longest Word",,,,"cn","zh_TW",1001,"TRUE","AR",,,,,,,,,,,"EN",,
,,,,,,,,,,"FA",,,,,,,,,,,,,
"DOUBLE",,"Double String",,,,"zh-Hans","zh_CN",1002,"TRUE",,,,,,,,,,,,"EN",,
"EMPTY",,"Empty Texts",,,,"ko","ko",1003,"TRUE",,,,,,,,,,,,"EN",,
"CNT","localization/texts.csv","繁體中文","TRUE",,"STHeitiSC-Medium","zh-Hant","zh_TW",12,,,"true","https://inbox.clashofclans.com/zh","https://inbox-staging.clashofclans.com/zh","https://inbox.clashofclans.com/zh/community","https://inbox-staging.clashofclans.com/zh/community",,"https://inbox.clashofclans.com/zh/esport","https://inbox-staging.clashofclans.com/zh/esport","https://clashofclans.scescdn.com/zh_TW","https://clashofclans-dev.scescdn.com/zh_TW","CNT",,"https://ingame.help.supercellsupport.com/clash-of-clans/zh/index.html"
"AR","localization/texts.csv","العربية",,"TRUE",,"ar",,15,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com/ar","https://inbox.clashofclans.com/ar/community","https://inbox-staging.clashofclans.com/ar/community",,"https://inbox.clashofclans.com/esport","https://inbox-staging.clashofclans.com/esport","https://clashofclans.scescdn.com/en","https://clashofclans-dev.scescdn.com/en","AR",,"https://ingame.help.supercellsupport.com/clash-of-clans/ar/index.html"
"FA","localization/texts.csv","فارسی",,"TRUE",,,,16,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com/fa","https://inbox.clashofclans.com/fa/community","https://inbox-staging.clashofclans.com/fa/community",,"https://inbox.clashofclans.com/esport","https://inbox-staging.clashofclans.com/esport","https://clashofclans.scescdn.com/en","https://clashofclans-dev.scescdn.com/en",,,"https://ingame.help.supercellsupport.com/clash-of-clans/en/index.html"
"ID","localization/texts.csv","Bahasa Indonesia",,,,"id",,17,,,"true","https://inbox.clashofclans.com/id","https://inbox-staging.clashofclans.com/id","https://inbox.clashofclans.com/id/community","https://inbox-staging.clashofclans.com/id/community",,"https://inbox.clashofclans.com/id/esport","https://inbox-staging.clashofclans.com/id/esport","https://clashofclans.scescdn.com/id","https://clashofclans-dev.scescdn.com/id",,,"https://ingame.help.supercellsupport.com/clash-of-clans/id/index.html"
"MS","localization/texts.csv","Bahasa Melayu",,,,"ms",,18,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com/ms","https://inbox.clashofclans.com/ms/community","https://inbox-staging.clashofclans.com/ms/community",,"https://inbox.clashofclans.com/esport","https://inbox-staging.clashofclans.com/esport","https://clashofclans.scescdn.com/en","https://clashofclans-dev.scescdn.com/en",,,"https://ingame.help.supercellsupport.com/clash-of-clans/ms/index.html"
"TEST",,"Test Language",,,,,,999,"TRUE",,,,,,,,,,,,,,
"VI","localization/texts.csv","Tiếng Việt",,,,"vi",,19,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com/vi","https://inbox.clashofclans.com/vi/community","https://inbox-staging.clashofclans.com/vi/community",,"https://inbox.clashofclans.com/esport","https://inbox-staging.clashofclans.com/esport","https://clashofclans.scescdn.com/en","https://clashofclans-dev.scescdn.com/en",,,"https://ingame.help.supercellsupport.com/clash-of-clans/en/index.html"
"DOUBLEDOUBLE",,"Double Double String",,,,"zh-Hans","zh_CN",1004,"TRUE",,,,,,,,,,,,,,
"QUADRUPLE",,"Quad String",,,,"zh-Hans","zh_CN",1005,"TRUE",,,,,,,,,,,,,,
"TH","localization/texts.csv","ภาษาไทย",,,"HelveticaNeue-Bold","th",,20,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com/th","https://inbox.clashofclans.com/th/community","https://inbox-staging.clashofclans.com/th/community",,"https://inbox.clashofclans.com/esport","https://inbox-staging.clashofclans.com/esport","https://clashofclans.scescdn.com/en","https://clashofclans-dev.scescdn.com/en",,,"https://ingame.help.supercellsupport.com/clash-of-clans/en/index.html"
"FI","localization/texts.csv","Suomi",,,,"fi",,21,,,"true","https://inbox.clashofclans.com","https://inbox-staging.clashofclans.com/fi","https://inbox.clashofclans.com/fi/community","https://inbox-staging.clashofclans.com/fi/community",,"https://inbox.clashofclans.com/esport","https://inbox-staging.clashofclans.com/esport","https://clashofclans.scescdn.com/en","https://clashofclans-dev.scescdn.com/en",,,"https://ingame.help.supercellsupport.com/clash-of-clans/fi/index.html"
"GRAPHEME",,"Most Graphemes",,,,"zh-hans","zh_CN",1006,"TRUE","AR",,,,,,,,,,,"EN",,
,,,,,,,,,,"FA",,,,,,,,,,,,,
