"Name","TaskType","ProgressType","Set","TID","InfoTID","IconSWF","IconExportName","Score","DurationMinutes","Quantity","Quantity2","Data1","Data2","SelectionWeight","Disabled"
"DestroyWizardTowers","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_WIZARDTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_WIZARDTOWERS","sc/buildings.sc","wizard_tower_lvl4",100,480,30,,"Wizard Tower",,,
"DestroyCannons","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_CANNONS","TID_CLANGAMES_TASK_INFO_DESTROY_CANNONS","sc/buildings.sc","basic_turret_lvl7",100,480,50,,"Cannon",,,
"DestroyArcherTowers","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_ARCHERTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_ARCHERTOWERS","sc/buildings.sc","tower_turret_lvl3",100,480,40,,"Archer Tower",,,
"DestroyDarkElixirPumps","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_DARKELIXIRPUMPS","TID_CLANGAMES_TASK_INFO_DESTROY_DARKELIXIRPUMPS","sc/buildings.sc","darkelixir_pump_lvl4",100,480,20,,"Dark Elixir Pump",,,
"DestroyDarkElixirStorages","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_DARKELIXIRSTORAGES","TID_CLANGAMES_TASK_INFO_DESTROY_DARKELIXIRSTORAGES","sc/buildings.sc","darkelixir_storage_level3",100,480,10,,"Dark Elixir Storage",,,
"DestroyClanCastles","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_CLANCASTLES","TID_CLANGAMES_TASK_INFO_DESTROY_CLANCASTLES","sc/buildings.sc","alliance_castle_lvl2",100,480,10,,"Alliance Castle",,,
"DestroyLaboratories","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_LABORATORIES","TID_CLANGAMES_TASK_INFO_DESTROY_LABORATORIES","sc/buildings.sc","laboratory_lvl6",50,480,10,,"Laboratory",,,
"DestroySpellFactories","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_SPELLFACTORIES","TID_CLANGAMES_TASK_INFO_DESTROY_SPELLFACTORIES","sc/buildings.sc","spell_factory_lvl3",50,480,10,,"Spell Forge",,,
"DestroyDarkSpellFactories","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_DARKSPELLFACTORIES","TID_CLANGAMES_TASK_INFO_DESTROY_DARKSPELLFACTORIES","sc/buildings.sc","mini_spell_distillery_lvl1",50,480,10,,"Mini Spell Factory",,,
"DestroyAirSweepers","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_AIRSWEEPERS","TID_CLANGAMES_TASK_INFO_DESTROY_AIRSWEEPERS","sc/buildings.sc","air_mortar_lvl2",50,480,10,,"Air Blaster",,,
"DestroyAirDefenses","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_AIRDEFENSES","TID_CLANGAMES_TASK_INFO_DESTROY_AIRDEFENSES","sc/buildings.sc","fireworks_tower_lvl6",100,480,20,,"Air Defense",,,
"DestroyInfernoTowers","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_INFERNOTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_INFERNOTOWERS","sc/buildings.sc","dark_tower_lvl2",100,480,10,,"Dark Tower",,,
"DestroyBombTowers","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_BOMBTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_BOMBTOWERS","sc/buildings.sc","bomb_tower_lvl1",100,480,10,,"Bomb Tower",,,
"DestroyTeslaTowers","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_TESLATOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_TESLATOWERS","sc/buildings.sc","teslatower_lvl5_setup",100,480,20,,"Tesla Tower",,,
"DestroyXbows","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_XBOWS","TID_CLANGAMES_TASK_INFO_DESTROY_XBOWS","sc/buildings.sc","rapidfire_turret_lvl1",100,480,20,,"Bow",,,
"DestroyKingAltars","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_KINGALTARS","TID_CLANGAMES_TASK_INFO_DESTROY_KINGALTARS","sc/buildings.sc","heroaltar_barbarian_king_lvl1",50,480,10,,"Hero Altar Barbarian King",,,
"DestroyQueenAltars","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_QUEENALTARS","TID_CLANGAMES_TASK_INFO_DESTROY_QUEENALTARS","sc/buildings.sc","heroaltar_archer_queen_lvl1",50,480,10,,"Hero Altar Archer Queen",,,
"DestroyWardenAltars","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_WARDENALTARS","TID_CLANGAMES_TASK_INFO_DESTROY_WARDENALTARS","sc/buildings.sc","heroaltar_elder_lvl1",50,480,10,,"Hero Altar Grand Warden",,,
"WinHomeBattles","WinHomeBattles","Accumulative","Regular","TID_CLANGAMES_TASK_WIN_HOMEBATTLES","TID_CLANGAMES_TASK_INFO_WIN_HOMEBATTLES","sc/ui.sc","Home_Win_Battles_Icon",100,480,7,,,,,
"WinHomeBattles3Stars","WinHomeBattles3Stars","Accumulative","Regular","TID_CLANGAMES_TASK_WIN_HOMEBATTLES3STARS","TID_CLANGAMES_TASK_INFO_WIN_HOMEBATTLES3STARS","sc/ui.sc","Home_Get_3Stars_Icon",150,480,3,,,,,
"GetHomeBattleStars","GetHomeBattleStars","Accumulative","Regular","TID_CLANGAMES_TASK_GET_HOMEBATTLESTARS","TID_CLANGAMES_TASK_INFO_GET_HOMEBATTLESTARS","sc/ui.sc","Home_Collect_Stars_Icon",100,480,15,,,,,
"GetHomeBattleDestruction","GetHomeBattleDestruction","Accumulative","Regular","TID_CLANGAMES_TASK_GET_HOMEBATTLEDESTRUCTION","TID_CLANGAMES_TASK_INFO_GET_HOMEBATTLEDESTRUCTION","sc/ui.sc","Home_Get_Desturction_Icon",100,480,500,,,,,
"LootGold","LootResources","Accumulative","Regular","TID_CLANGAMES_TASK_LOOT_GOLD","TID_CLANGAMES_TASK_INFO_LOOT_GOLD","sc/ui.sc","Home_Loot_Gold",100,480,2500000,,"Gold",,,
"LootElixir","LootResources","Accumulative","Regular","TID_CLANGAMES_TASK_LOOT_ELIXIR","TID_CLANGAMES_TASK_INFO_LOOT_ELIXIR","sc/ui.sc","Home_Loot_Elixir",100,480,2500000,,"Elixir",,,
"LootDarkElixir","LootResources","Accumulative","Regular","TID_CLANGAMES_TASK_LOOT_DARKELIXIR","TID_CLANGAMES_TASK_INFO_LOOT_DARKELIXIR","sc/ui.sc","Home_Loot_DarkElixir",100,480,25000,,"DarkElixir",,,
"DonateTroops","DonateTroopCapacity","Accumulative","Regular","TID_CLANGAMES_TASK_DONATE_TROOPS","TID_CLANGAMES_TASK_INFO_DONATE_TROOPS","sc/ui.sc","Home_Donate_Troops",100,480,250,,,,,
"DonateSpells","DonateSpellCapacity","Accumulative","Regular","TID_CLANGAMES_TASK_DONATE_SPELLS","TID_CLANGAMES_TASK_INFO_DONATE_SPELLS","sc/ui.sc","Home_Donate_Spells",50,480,25,,,,,
"ClearObstacles","ClearObstacles","Accumulative","Regular","TID_CLANGAMES_TASK_CLEAR_OBSTACLES","TID_CLANGAMES_TASK_INFO_CLEAR_OBSTACLES","sc/ui.sc","Home_Clear_Obstacles",50,480,25,,,,,
"WinHomeBattlesInRow","WinHomeBattles","Consecutive","Regular","TID_CLANGAMES_TASK_WIN_HOMEBATTLESINROW","TID_CLANGAMES_TASK_INFO_WIN_HOMEBATTLESINROW","sc/ui.sc","Home_Win_Battles_Icon",100,480,3,,,,,
"BeatDarkElixirTarget","LootResources","Best","Regular","TID_CLANGAMES_TASK_BEAT_DARKELIXIRTARGET","TID_CLANGAMES_TASK_INFO_BEAT_DARKELIXIRTARGET","sc/ui.sc","Home_Get_DarkElixirtarget",100,480,2000,,"DarkElixir",,,
"BeatGoldTarget","LootResources","Best","Regular","TID_CLANGAMES_TASK_BEAT_GOLDTARGET","TID_CLANGAMES_TASK_INFO_BEAT_GOLDTARGET","sc/ui.sc","Home_Get_Goldtarget",100,480,200000,,"Gold",,,
"BeatElixirTarget","LootResources","Best","Regular","TID_CLANGAMES_TASK_BEAT_ELIXIRTARGET","TID_CLANGAMES_TASK_INFO_BEAT_ELIXIRTARGET","sc/ui.sc","Home_Get_Elixirtarget",100,480,200000,,"Elixir",,,
"UseBarbarians","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_BARBARIANS","TID_BATTLEPASS_TASK_INFO_USE_BARBARIANS","sc/ui.sc","icon_unit_barbarian",100,480,10,1,"Barbarian",,,
"UseArchers","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_ARCHERS","TID_BATTLEPASS_TASK_INFO_USE_ARCHERS","sc/ui.sc","icon_unit_archer",100,480,10,1,"Archer",,,
"UseGoblins","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_GOBLINS","TID_BATTLEPASS_TASK_INFO_USE_GOBLINS","sc/ui.sc","icon_unit_goblin",100,480,10,1,"Goblin",,,
"UseGiants","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_GIANTS","TID_BATTLEPASS_TASK_INFO_USE_GIANTS","sc/ui.sc","icon_unit_giant",100,480,10,1,"Giant",,,
"UseWallBreakers","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_WALLBREAKERS","TID_BATTLEPASS_TASK_INFO_USE_WALLBREAKERS","sc/ui.sc","icon_unit_wallbreaker",100,480,10,1,"Wall Breaker",,,
"UseLoons","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_LOONS","TID_BATTLEPASS_TASK_INFO_USE_LOONS","sc/ui.sc","icon_unit_balloon",100,480,10,1,"Balloon",,,
"UseWizards","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_WIZARDS","TID_BATTLEPASS_TASK_INFO_USE_WIZARDS","sc/ui.sc","icon_unit_wizard",100,480,10,1,"Wizard",,,
"UseHealers","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_HEALERS","TID_BATTLEPASS_TASK_INFO_USE_HEALERS","sc/ui.sc","icon_unit_healer",100,480,10,1,"Healer",,,
"UseMinions","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_MINIONS","TID_BATTLEPASS_TASK_INFO_USE_MINIONS","sc/ui.sc","icon_unit_gargoyle",100,480,10,1,"Gargoyle",,,
"UseHogRiders","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_HOGRIDERS","TID_BATTLEPASS_TASK_INFO_USE_HOGRIDERS","sc/ui.sc","icon_unit_boarRider",100,480,10,1,"Boar Rider",,,
"UseDragons","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_DRAGONS","TID_BATTLEPASS_TASK_INFO_USE_DRAGONS","sc/ui.sc","icon_unit_dragon",100,480,10,1,"Dragon",,,
"UsePEKKAs","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_PEKKAS","TID_BATTLEPASS_TASK_INFO_USE_PEKKAS","sc/ui.sc","icon_unit_pekka",100,480,10,1,"PEKKA",,,
"UseValkyries","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_VALKYRIES","TID_BATTLEPASS_TASK_INFO_USE_VALKYRIES","sc/ui.sc","icon_unit_warriorGirl",100,480,10,1,"Warrior Girl",,,
"UseGolems","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_GOLEMS","TID_BATTLEPASS_TASK_INFO_USE_GOLEMS","sc/ui.sc","icon_unit_golem",100,480,10,1,"Golem",,,
"UseWitches","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_WITCHES","TID_BATTLEPASS_TASK_INFO_USE_WITCHES","sc/ui.sc","icon_unit_witch",100,480,10,1,"Warlock",,,
"UseLavaHounds","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_LAVAHOUNDS","TID_BATTLEPASS_TASK_INFO_USE_LAVAHOUNDS","sc/ui.sc","icon_unit_tiny",100,480,10,1,"AirDefenceSeeker",,,
"UseBabyDragons","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_BABYDRAGONS","TID_BATTLEPASS_TASK_INFO_USE_BABYDRAGONS","sc/ui.sc","icon_unit_babydragon",100,480,10,1,"BabyDragon",,,
"UseBowlers","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_BOWLERS","TID_BATTLEPASS_TASK_INFO_USE_BOWLERS","sc/ui.sc","icon_unit_troll",100,480,10,1,"Bowler",,,
"UseMiners","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_MINERS","TID_BATTLEPASS_TASK_INFO_USE_MINERS","sc/ui.sc","icon_unit_miner",100,480,10,1,"Miner",,,
"UseRagedBarbarians","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_RAGEDBARBARIANS","TID_BATTLEPASS_TASK_INFO_USE_RAGEDBARBARIANS","sc/ui.sc","icon_unit_raged_barbarian",100,480,15,1,"Barbarian2",,,
"UseSneakyArchers","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_SNEAKYARCHERS","TID_BATTLEPASS_TASK_INFO_USE_SNEAKYARCHERS","sc/ui.sc","icon_unit_stealthy_archer",100,480,15,1,"Archer2",,,
"UseBetaMinions","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_BETAMINIONS","TID_BATTLEPASS_TASK_INFO_USE_BETAMINIONS","sc/ui.sc","icon_unit_glowing_minion",100,480,15,1,"Gargoyle2",,,
"UseBoxerGiants","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_BOXERGIANTS","TID_BATTLEPASS_TASK_INFO_USE_BOXERGIANTS","sc/ui.sc","icon_unit_boxergiant",100,480,15,1,"Giant2",,,
"UseBombers","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_BOMBERS","TID_BATTLEPASS_TASK_INFO_USE_BOMBERS","sc/ui.sc","icon_unit_bomber",100,480,15,1,"Bomber2",,,
"UseCannonCarts","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_CANNONCARTS","TID_BATTLEPASS_TASK_INFO_USE_CANNONCARTS","sc/ui.sc","icon_unit_movingCannon",100,480,15,1,"Moving Cannon",,,
"UseDropShips","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_DROPSHIPS","TID_BATTLEPASS_TASK_INFO_USE_DROPSHIPS","sc/ui.sc","icon_unit_skeletonBalloon",100,480,15,1,"Balloon2",,,
"UseBabyDragons2","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_BABYDRAGONS2","TID_BATTLEPASS_TASK_INFO_USE_BABYDRAGONS2","sc/ui.sc","icon_unit_babydragon",100,480,15,1,"BabyDragon2",,,
"UseNightWitches","WinStarsUsingTroop","Accumulative","Regular","TID_CLANGAMES_TASK_USE_NIGHTWITCHES","TID_BATTLEPASS_TASK_INFO_USE_NIGHTWITCHES","sc/ui.sc","icon_unit_nightwitch",100,480,15,1,"Dark Witch",,,
"WinBuilderBattles","WinBuilderBattles","Accumulative","Regular","TID_CLANGAMES_TASK_WIN_BUILDERBATTLES","TID_CLANGAMES_TASK_INFO_WIN_BUILDERBATTLES","sc/ui.sc","Builder_Win_Battles_Icon",100,480,10,,,,,"true"
"GetBuilderBattleStars","GetBuilderBattleStars","Accumulative","Regular","TID_CLANGAMES_TASK_GET_BUILDERBATTLESTARS","TID_CLANGAMES_TASK_INFO_GET_BUILDERBATTLESTARS","sc/ui.sc","Builder_Collect_Stars_Icon",100,480,25,,,,,
"GetBuilderBattleDestruction","GetBuilderBattleDestruction","Accumulative","Regular","TID_CLANGAMES_TASK_GET_BUILDERBATTLEDESTRUCTION","TID_CLANGAMES_TASK_INFO_GET_BUILDERBATTLEDESTRUCTION","sc/ui.sc","Builder_Get_Destruction_Icon",100,480,1000,,,,,
"WinHomeBattlesInRowEpic","WinHomeBattles","Consecutive","Epic","TID_CLANGAMES_TASK_WIN_HOMEBATTLESINROW","TID_CLANGAMES_TASK_INFO_WIN_HOMEBATTLESINROW","sc/ui.sc","Home_Win_Battles_Icon",200,1440,6,,,,,
"DestroyEagleArtilleryEpic","DestroyBuilding","Accumulative","Epic","TID_CLANGAMES_TASK_DESTROY_EAGLEARTILLERY","TID_CLANGAMES_TASK_INFO_DESTROY_EAGLEARTILLERY","sc/buildings.sc","doom_cannon_lvl2",200,1440,10,,"Ancient Artillery",,,
"DestroyInfernoTowersEpic","DestroyBuilding","Accumulative","Epic","TID_CLANGAMES_TASK_DESTROY_INFERNOTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_INFERNOTOWERS","sc/buildings.sc","dark_tower_lvl2",200,1440,20,,"Dark Tower",,,
"GetHomeBattleStarsEpic","GetHomeBattleStars","Accumulative","Epic","TID_CLANGAMES_TASK_GET_HOMEBATTLESTARS","TID_CLANGAMES_TASK_INFO_GET_HOMEBATTLESTARS","sc/ui.sc","Home_Collect_Stars_Icon",200,1440,30,,,,,
"WinHomeBattlesEpic","WinHomeBattles","Accumulative","Epic","TID_CLANGAMES_TASK_WIN_HOMEBATTLES","TID_CLANGAMES_TASK_INFO_WIN_HOMEBATTLES","sc/ui.sc","Home_Win_Battles_Icon",200,1440,15,,,,,
"GetBuilderBattleStarsEpic","GetBuilderBattleStars","Accumulative","Epic","TID_CLANGAMES_TASK_GET_BUILDERBATTLESTARS","TID_CLANGAMES_TASK_INFO_GET_BUILDERBATTLESTARS","sc/ui.sc","Builder_Collect_Stars_Icon",200,1440,50,,,,,
"LootGoldEpic","LootResources","Accumulative","Epic","TID_CLANGAMES_TASK_LOOT_GOLD","TID_CLANGAMES_TASK_INFO_LOOT_GOLD","sc/ui.sc","Home_Loot_Gold",200,1440,5000000,,"Gold",,,
"LootElixirEpic","LootResources","Accumulative","Epic","TID_CLANGAMES_TASK_LOOT_ELIXIR","TID_CLANGAMES_TASK_INFO_LOOT_ELIXIR","sc/ui.sc","Home_Loot_Elixir",200,1440,5000000,,"Elixir",,,
"LootDarkElixirEpic","LootResources","Accumulative","Epic","TID_CLANGAMES_TASK_LOOT_DARKELIXIR","TID_CLANGAMES_TASK_INFO_LOOT_DARKELIXIR","sc/ui.sc","Home_Loot_DarkElixir",200,1440,50000,,"DarkElixir",,,
"GetHomeBattleDestructionEpic","GetHomeBattleDestruction","Accumulative","Epic","TID_CLANGAMES_TASK_GET_HOMEBATTLEDESTRUCTION","TID_CLANGAMES_TASK_INFO_GET_HOMEBATTLEDESTRUCTION","sc/ui.sc","Home_Get_Desturction_Icon",200,1440,1000,,,,,
"GetBuilderBattleDestructionEpic","GetBuilderBattleDestruction","Accumulative","Epic","TID_CLANGAMES_TASK_GET_BUILDERBATTLEDESTRUCTION","TID_CLANGAMES_TASK_INFO_GET_BUILDERBATTLEDESTRUCTION","sc/ui.sc","Builder_Get_Destruction_Icon",200,1440,2000,,,,,
"DestroyTownHall2","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_BB_BUILDERHALL","TID_CLANGAMES_TASK_INFO_DESTROY_BB_BUILDERHALL","sc/buildings2.sc","new_TH_lvl3",100,480,10,,"Town Hall2",,,
"DestroyAirDefenseMini","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_BB_FIRECRACKERS","TID_CLANGAMES_TASK_INFO_DESTROY_BB_FIRECRACKERS","sc/buildings2.sc","airDefence_box_lvl4",100,480,30,,"Air Defense Mini",,,
"DestroyAirDefense2","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_BB_AIRBOMBS","TID_CLANGAMES_TASK_INFO_DESTROY_BB_AIRBOMBS","sc/buildings2.sc","airDefence_factory_lvl4",100,480,10,,"Air Defense2",,,
"DestroyClockTower","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_BB_CLOCKTOWER","TID_CLANGAMES_TASK_INFO_DESTROY_BB_CLOCKTOWER","sc/buildings2.sc","clocktower_lvl2",50,480,7,,"Clock Tower",,,
"DestroyCrusher","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_BB_CRUSHER","TID_CLANGAMES_TASK_INFO_DESTROY_BB_CRUSHER","sc/buildings2.sc","Crusher_lvl2",100,480,15,,"Crusher",,,
"DestroyDoubleCannon","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_BB_DOUBLECANNON","TID_CLANGAMES_TASK_INFO_DESTROY_BB_DOUBLECANNON","sc/buildings2.sc","doubleCannon_lvl2",100,480,20,,"Double Cannon",,,
"DestroyFlamer","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_BB_ROASTER","TID_CLANGAMES_TASK_INFO_DESTROY_BB_ROASTER","sc/buildings2.sc","Flamer_lvl2",100,480,10,,"Flamer",,,
"DestroyGemMine","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_BB_GEMMINE","TID_CLANGAMES_TASK_INFO_DESTROY_BB_GEMMINE","sc/buildings2.sc","gem_mine_lvl2",50,480,7,,"Gem Mine",,,
"DestroyGiantCannon","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_BB_GIANTCANNON","TID_CLANGAMES_TASK_INFO_DESTROY_BB_GIANTCANNON","sc/buildings2.sc","megaCannon_lvl4",100,480,10,,"Giant Cannon",,,
"DestroyGuardPost","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_BB_GUARDPOST","TID_CLANGAMES_TASK_INFO_DESTROY_BB_GUARDPOST","sc/buildings2.sc","GuardPost_lvl4",100,480,10,,"Guard Post",,,
"DestroyLaboratory2","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_BB_STARLABORATORY","TID_CLANGAMES_TASK_INFO_DESTROY_BB_STARLABORATORY","sc/buildings2.sc","Telescope_lvl5",50,480,7,,"Laboratory2",,,
"DestroyMultiMortar","DestroyBuilding","Accumulative","Regular","TID_CLANGAMES_TASK_DESTROY_BB_MULTIMORTAR","TID_CLANGAMES_TASK_INFO_DESTROY_BB_MULTIMORTAR","sc/buildings2.sc","multi_mortar_lvl4",100,480,10,,"Multi Mortar",,,
"WinHomeBattlesInRowMarathon","WinHomeBattles","Consecutive","Marathon","TID_CLANGAMES_TASK_WIN_HOMEBATTLESINROW","TID_CLANGAMES_TASK_INFO_WIN_HOMEBATTLESINROW","sc/ui.sc","Home_Win_Battles_Icon",300,2880,9,,,,,
"DestroyEagleArtilleryMarathon","DestroyBuilding","Accumulative","Marathon","TID_CLANGAMES_TASK_DESTROY_EAGLEARTILLERY","TID_CLANGAMES_TASK_INFO_DESTROY_EAGLEARTILLERY","sc/buildings.sc","doom_cannon_lvl2",300,2880,15,,"Ancient Artillery",,,
"DestroyInfernoTowersMarathon","DestroyBuilding","Accumulative","Marathon","TID_CLANGAMES_TASK_DESTROY_INFERNOTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_INFERNOTOWERS","sc/buildings.sc","dark_tower_lvl2",300,2880,30,,"Dark Tower",,,
"GetHomeBattleStarsMarathon","GetHomeBattleStars","Accumulative","Marathon","TID_CLANGAMES_TASK_GET_HOMEBATTLESTARS","TID_CLANGAMES_TASK_INFO_GET_HOMEBATTLESTARS","sc/ui.sc","Home_Collect_Stars_Icon",300,2880,45,,,,,
"WinHomeBattlesMarathon","WinHomeBattles","Accumulative","Marathon","TID_CLANGAMES_TASK_WIN_HOMEBATTLES","TID_CLANGAMES_TASK_INFO_WIN_HOMEBATTLES","sc/ui.sc","Home_Win_Battles_Icon",300,2880,30,,,,,
"GetBuilderBattleStarsMarathon","GetBuilderBattleStars","Accumulative","Marathon","TID_CLANGAMES_TASK_GET_BUILDERBATTLESTARS","TID_CLANGAMES_TASK_INFO_GET_BUILDERBATTLESTARS","sc/ui.sc","Builder_Collect_Stars_Icon",300,2880,75,,,,,
"LootGoldMarathon","LootResources","Accumulative","Marathon","TID_CLANGAMES_TASK_LOOT_GOLD","TID_CLANGAMES_TASK_INFO_LOOT_GOLD","sc/ui.sc","Home_Loot_Gold",300,2880,10000000,,"Gold",,,
"LootElixirMarathon","LootResources","Accumulative","Marathon","TID_CLANGAMES_TASK_LOOT_ELIXIR","TID_CLANGAMES_TASK_INFO_LOOT_ELIXIR","sc/ui.sc","Home_Loot_Elixir",300,2880,10000000,,"Elixir",,,
